state,maxpreps_city,maxpreps_slug,maxpreps_name,maxpreps_nickname,massey_name,conference,p_source,years_found,weight_sum,raw_p,prestige_final
me,rockport,camden-hills-windjammers,Camden Hills,Windjammers,,A North,maxpreps,0,,0.6074,73
me,auburn,edward-little-red-eddies,Edward Little,Red Eddies,,A North,maxpreps,0,,0.6910,81
me,brunswick,brunswick-dragons,Brunswick,Dragons,,A North,maxpreps,0,,0.5501,67
me,bangor,bangor-rams,Bangor,Rams,,A North,maxpreps,0,,0.5310,66
me,farmington,mt-blue-cougars,Mt. Blue,Cougars,,A North,maxpreps,0,,0.5504,67
me,hampden,hampden-broncos,Hampden,Broncos,,A North,maxpreps,0,,0.6149,74
me,lewiston,lewiston-blue-devils,Lewiston,Blue Devils,,A North,maxpreps,0,,0.5555,68
me,skowhegan,skowhegan-river-hawks,Skowhegan,River Hawks,,A North,maxpreps,0,,0.4957,62
me,brewer,brewer-witches,Brewer,Witches,,A North,maxpreps,0,,0.5990,72
me,south-paris,oxford-hills-vikings,Oxford Hills,Vikings,,A North,maxpreps,0,,0.5737,70
me,oakland,messalonskee-eagles,Messalonskee,Eagles,,A North,maxpreps,0,,0.5390,66
me,topsham,mt-ararat-eagles,Mt. Ararat,Eagles,,A North,maxpreps,0,,0.3950,52
me,sanford,sanford-spartans,Sanford,Spartans,,A South,maxpreps,0,,0.5928,71
me,windham,windham-eagles,Windham,Eagles,,A South,maxpreps,0,,0.7395,86
me,south-portland,south-portland-red-riots,South Portland,Red Riots,,A South,maxpreps,0,,0.7880,90
me,westbrook,westbrook-blue-blazes,Westbrook,Blue Blazes,,A South,maxpreps,0,,0.5535,68
me,portland,portland-bulldogs,Portland,Bulldogs,,A South,maxpreps,0,,0.7498,87
me,kennebunk,kennebunk-rams,Kennebunk,Rams,,A South,maxpreps,0,,0.6455,77
me,scarborough,scarborough-red-storm,Scarborough,Red Storm,,A South,maxpreps,0,,0.6440,76
me,standish,bonny-eagle-scots,Bonny Eagle,Scots,,A South,maxpreps,0,,0.6015,72
me,portland,cheverus-stags,Cheverus,Stags,,A South,maxpreps,0,,0.6806,80
me,falmouth,falmouth-navigators,Falmouth,Navigators,,A South,maxpreps,0,,0.7271,84
me,gorham,gorham-rams,Gorham,Rams,,A South,maxpreps,0,,0.6105,73
me,saco,thornton-academy-trojans,Thornton Academy,Trojans,,A South,maxpreps,0,,0.7106,83
me,north-berwick,noble-knights,Noble,Knights,,A South,maxpreps,0,,0.5417,67
me,biddeford,biddeford-tigers,Biddeford,Tigers,,A South,maxpreps,0,,0.4683,60
me,portland,deering-rams,Deering,Rams,,A South,maxpreps,0,,0.5525,68
me,waterboro,massabesic-mustangs,Massabesic,Mustangs,,A South,maxpreps,0,,0.3455,48
me,hermon,hermon-hawks,Hermon,Hawks,,B North,maxpreps,0,,0.7121,83
me,gardiner,gardiner-tigers,Gardiner,Tigers,,B North,maxpreps,0,,0.5606,68
me,mount-desert,mount-desert-island-trojans,Mount Desert Island,Trojans,,B North,maxpreps,0,,0.6887,81
me,augusta,cony-rams,Cony,Rams,,B North,maxpreps,0,,0.6419,76
me,south-china,erskine-academy-eagles,Erskine Academy,Eagles,,B North,maxpreps,0,,0.4735,60
me,ellsworth,ellsworth-eagles,Ellsworth,Eagles,,B North,maxpreps,0,,0.8148,93
me,presque-isle,presque-isle-wildcats,Presque Isle,Wildcats,,B North,maxpreps,0,,0.6374,76
