state,maxpreps_city,maxpreps_slug,maxpreps_name,maxpreps_nickname,massey_name,conference,p_source,years_found,weight_sum,raw_p,prestige_final
il,mahomet,mahomet-seymour-bulldogs,Mahomet-Seymour,Bulldogs,,Apollo,maxpreps,0,,0.4918,65
il,taylorville,taylorville-tornadoes,Taylorville,Tornadoes,,Apollo,maxpreps,0,,0.3388,53
il,mattoon,mattoon-greenwave,Mattoon,Greenwave,,Apollo,maxpreps,0,,0.4424,61
il,mt-zion,mt-zion-braves,Mt. Zion,Braves,,Apollo,maxpreps,0,,0.5627,71
il,effingham,effingham-hearts,Effingham,Hearts,,Apollo,maxpreps,0,,0.3470,54
il,charleston,charleston-trojans,Charleston,Trojans,,Apollo,maxpreps,0,,0.3727,56
il,byron,byron-tigers,Byron,Tigers,,Big Northern,maxpreps,0,,0.5756,72
il,winnebago,winnebago-indians,Winnebago,Indians,,Big Northern,maxpreps,0,,0.3986,58
il,oregon,oregon-hawks,Oregon,Hawks,,Big Northern,maxpreps,0,,0.4342,61
il,rockford,lutheran-crusaders,Lutheran,Crusaders,,Big Northern,maxpreps,0,,0.4767,64
il,dixon,dixon-dukes-and-duchesses,Dixon,Dukes And Duchesses,,Big Northern,maxpreps,0,,0.4227,60
il,poplar-grove,north-boone-vikings,North Boone,Vikings,,Big Northern,maxpreps,0,,0.2628,47
il,rock-falls,rock-falls-rockets,Rock Falls,Rockets,,Big Northern,maxpreps,0,,0.4023,58
il,genoa,genoa-kingston-mascot,Genoa-Kingston,Mascot,,Big Northern,maxpreps,0,,0.3018,50
il,rockford,rockford-christian-royal-lions,Rockford Christian,Royal Lions,,Big Northern,maxpreps,0,,0.4212,60
il,stillman-valley,stillman-valley-cardinals,Stillman Valley,Cardinals,,Big Northern,maxpreps,0,,0.3009,50
il,peoria,peoria-lions,Peoria,Lions,,Big Twelve,maxpreps,0,,0.6306,77
il,normal,normal-community-ironmen,Normal Community,Ironmen,,Big Twelve,maxpreps,0,,0.6903,82
il,peoria,manual-rams,Manual,Rams,,Big Twelve,maxpreps,0,,0.6377,77
il,peoria,richwoods-knights,Richwoods,Knights,,Big Twelve,maxpreps,0,,0.7159,84
il,champaign,centennial-chargers,Centennial,Chargers,,Big Twelve,maxpreps,0,,0.4840,65
il,champaign,champaign-central-maroons,Champaign Central,Maroons,,Big Twelve,maxpreps,0,,0.4859,65
il,urbana,urbana-tigers,Urbana,Tigers,,Big Twelve,maxpreps,0,,0.3810,56
il,bloomington,bloomington-purple-raiders,Bloomington,Purple Raiders,,Big Twelve,maxpreps,0,,0.3514,54
il,danville,danville-vikings,Danville,Vikings,,Big Twelve,maxpreps,0,,0.4379,61
