state,maxpreps_city,maxpreps_slug,maxpreps_name,maxpreps_nickname,massey_name,conference,p_source,years_found,weight_sum,raw_p,prestige_final
oh,west-chester,lakota-west-firebirds,Lakota West,Firebirds,,Division I,maxpreps,0,,0.6531,83
oh,hilliard,hilliard-bradley-jaguars,Hilliard Bradley,Jaguars,,Division I,maxpreps,0,,0.5197,71
oh,cincinnati,princeton-vikings,Princeton,Vikings,,Division I,maxpreps,0,,0.6182,80
oh,newark,newark-wildcats,Newark,Wildcats,,Division I,maxpreps,0,,0.5358,73
oh,lewis-center,olentangy-braves,Olentangy,Braves,,Division I,maxpreps,0,,0.5915,78
oh,brunswick,brunswick-blue-devils,Brunswick,Blue Devils,,Division I,maxpreps,0,,0.5579,75
oh,lakewood,st-edward-eagles,St. Edward,Eagles,,Division I,maxpreps,0,,0.6903,87
oh,huber-heights,wayne-warriors,Wayne,Warriors,,Division I,maxpreps,0,,0.4827,68
oh,canton,mckinley-bulldogs,McKinley,Bulldogs,,Division I,maxpreps,0,,0.4443,65
oh,cincinnati,archbishop-moeller-fighting-crusaders,Archbishop Moeller,Fighting Crusaders,,Division I,maxpreps,0,,0.6426,82
oh,dublin,dublin-coffman-rocks,Dublin Coffman,Rocks,,Division I,maxpreps,0,,0.4621,66
oh,elyria,elyria-pioneers,Elyria,Pioneers,,Division I,maxpreps,0,,0.4502,65
oh,centerville,centerville-elks,Centerville,Elks,,Division I,maxpreps,0,,0.6539,83
oh,reynoldsburg,reynoldsburg-raiders,Reynoldsburg,Raiders,,Division I,maxpreps,0,,0.5204,72
oh,cincinnati,st-xavier-bombers,St. Xavier,Bombers,,Division I,maxpreps,0,,0.5244,72
oh,perrysburg,perrysburg-yellow-jackets,Perrysburg,Yellow Jackets,,Division I,maxpreps,0,,0.4643,67
oh,cincinnati,oak-hills-highlanders,Oak Hills,Highlanders,,Division I,maxpreps,0,,0.6747,85
oh,gahanna,lincoln-lions,Lincoln,Lions,,Division I,maxpreps,0,,0.4620,66
oh,delaware,olentangy-berlin-bears,Olentangy Berlin,Bears,,Division I,maxpreps,0,,0.3818,59
oh,columbus,upper-arlington-golden-bears,Upper Arlington,Golden Bears,,Division I,maxpreps,0,,0.5902,78
oh,galloway,westland-cougars,Westland,Cougars,,Division I,maxpreps,0,,0.4631,66
oh,cleveland,st-ignatius-wildcats,St. Ignatius,Wildcats,,Division I,maxpreps,0,,0.7730,94
oh,pickerington,pickerington-central-tigers,Pickerington Central,Tigers,,Division I,maxpreps,0,,0.5691,76
oh,cincinnati,walnut-hills-eagles,Walnut Hills,Eagles,,Division I,maxpreps,0,,0.4140,62
oh,mason,mason-comets,Mason,Comets,,Division I,maxpreps,0,,0.4831,68
oh,massillon,washington-tigers,Washington,Tigers,,Division II,maxpreps,0,,0.6185,80
oh,westerville,westerville-north-warriors,Westerville North,Warriors,,Division II,maxpreps,0,,0.6360,82
